file_path,speaker_id,label,split
data/processed/audio/train/10_03-01-03-02-02-02-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-03-01-01-02-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-02-02-01-01-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-02-01-02-01-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-01-01-02-02-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-06-01-02-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-05-01-02-01-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-05-02-01-01-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-06-02-01-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-04-01-01-02-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-07-01-01-01-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-07-02-02-01-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-04-02-02-02-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-05-01-01-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-06-01-01-01-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-06-02-02-01-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-05-02-02-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-07-01-02-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-04-01-02-01-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-04-02-01-01-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-07-02-01-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-03-02-01-01-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-03-01-02-01-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-02-02-02-02-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-01-01-01-01-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-02-01-01-02-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-04-02-02-01-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-07-02-02-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-07-01-01-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-04-01-01-01-10_win0.wav,10,0,train
data/processed/audio/train/10_03-01-06-02-01-01-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-05-02-01-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-05-01-02-02-10_win0.wav,10,1,train
data/processed/audio/train/10_03-01-06-01-02-01-10_win0.wav,10,1,train
